X  , Y  ,Angle,Move Type,Tangent,Velocity,Correction, Elbow , Elbow Speed, Slide, Pitch,Roll,Claw, Wait,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,1.5,90,1,9,0.5,0.8,0.86,0,Go To B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.8,0.8,0.86,0.3,Extend Slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.8,0.8,0.38,0.5,Release Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.17,0.8,0.38,0.3,Move Pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.9,64.9,-135,line,0,100,0,0,1,1.5,0.17,0.8,0.38,0,Move Slides/Elbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,24,0,line,0,50,1.3,0,1,1.5,0.17,0.45,0.38,0,Go to Pickup 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,24,0,line,0,100,0,0,1,11,0.17,0.45,0.38,0,Extend Slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,24,0,line,0,100,0,0,1,11,0.17,0.45,0.86,0.7,Close Pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.1,24,0,line,0,100,0,90,1,5,0.17,0.8,0.86,0,Move Slides/Elbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,1.3,90,1,5,0.5,0.8,0.86,0,Go To B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.8,0.8,0.86,0.3,Extend Slides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.8,0.8,0.21,0.5,Release Claw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,65,-135,line,0,100,0,90,1,32,0.4,0.8,0.21,0.3,Move Pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10,180,line,0,100,0,0,1,0,0.1,0.8,0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,180,line,0,25,0,0,1,0,0.1,0.8,0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.9,10,180,line,0,25,0,0,1,0,0.1,0.8,0.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
