2025-02-16 15:21:06:475	Fenix:updatePresets	debug	/sdcard/Download/TeleOpV5/PresetPositions.csv (No such file or directory)
2025-02-16 15:21:07:643	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:07:657	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,7.0
2025-02-16 15:21:07:660	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:662	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:664	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:701	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,7.0,0.0
2025-02-16 15:21:07:714	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:07:717	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:719	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:722	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:754	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,7.0,3.0
2025-02-16 15:21:07:767	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:769	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:770	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:772	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:803	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,3.0
2025-02-16 15:21:07:815	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:819	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:821	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:823	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:875	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,0.0
2025-02-16 15:21:07:888	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:893	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:896	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:899	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:07:939	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,7.0,0.0
2025-02-16 15:21:07:959	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:07:963	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:07:965	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:07:967	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:013	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,0.0
2025-02-16 15:21:08:026	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:08:028	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:030	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:031	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:071	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,0.0
2025-02-16 15:21:08:082	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:083	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:085	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:086	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:115	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,0.0
2025-02-16 15:21:08:128	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:08:130	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:131	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:133	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:164	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:08:176	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:08:178	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:180	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:181	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:212	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:08:224	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:226	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:227	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:229	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:260	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:08:272	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:08:274	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:277	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:278	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:310	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,0.0
2025-02-16 15:21:08:322	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:325	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:327	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:329	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:374	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,3.0
2025-02-16 15:21:08:386	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:388	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:390	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:392	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:430	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,0.0
2025-02-16 15:21:08:444	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:08:448	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:449	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:451	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:481	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,0.0
2025-02-16 15:21:08:500	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:503	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:505	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:506	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:540	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,7.0,3.0
2025-02-16 15:21:08:552	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:554	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:556	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:558	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:598	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:08:611	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:08:613	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:615	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:616	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:648	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,7.0,3.0
2025-02-16 15:21:08:660	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,3.0
2025-02-16 15:21:08:661	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:663	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:665	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:696	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,0.0
2025-02-16 15:21:08:708	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:710	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:712	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:713	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:743	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:08:757	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:759	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:760	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:762	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:793	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0,3.0
2025-02-16 15:21:08:805	Fenix:arm	debug	0.0,13.00000238416429,-0.0,3.0,0.03343810606567244,-0.0,0.0
2025-02-16 15:21:08:807	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:809	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:811	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:871	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:08:886	Fenix:arm	debug	0.0,13.000402933371642,-0.0,3.0,0.5015715909850866,1.0,1078.0
2025-02-16 15:21:08:890	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:891	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:893	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:08:944	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:08:959	Fenix:arm	debug	0.0,13.00887616118625,-0.0,3.0,2.1400387882030363,1.0,134.0
2025-02-16 15:21:08:963	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:08:965	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:08:967	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:009	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:09:022	Fenix:arm	debug	0.0,13.019766490494506,-0.0,3.0,3.1431819701732095,1.0,605.0
2025-02-16 15:21:09:026	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:027	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:029	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:068	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,7.0,0.0
2025-02-16 15:21:09:079	Fenix:arm	debug	0.0,13.036739068225947,-0.0,3.0,4.2132013642747275,1.0,196.0
2025-02-16 15:21:09:081	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:082	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:083	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:133	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,7.0,0.0
2025-02-16 15:21:09:146	Fenix:arm	debug	0.0,13.059729859100578,-0.0,3.0,5.3500969705075905,1.0,193.0
2025-02-16 15:21:09:148	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:150	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:151	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:191	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,7.0,3.0,0.0
2025-02-16 15:21:09:204	Fenix:arm	debug	0.0,13.088351978495673,-0.0,3.0,6.4869925767404535,1.0,320.0
2025-02-16 15:21:09:205	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:207	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:208	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:248	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:09:260	Fenix:arm	debug	0.0,13.128191955397384,-0.0,3.0,7.824516819367352,1.0,280.0
2025-02-16 15:21:09:262	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:264	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:265	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:308	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:09:322	Fenix:arm	debug	0.0,13.1849478789425,-0.0,3.0,9.396107804453957,1.0,317.0
2025-02-16 15:21:09:324	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:326	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:328	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:394	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:09:408	Fenix:arm	debug	0.0,13.285255243812177,-0.0,3.0,11.603022804788337,1.0,116.0
2025-02-16 15:21:09:413	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:416	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:419	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:475	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:09:489	Fenix:arm	debug	0.0,13.378440800546894,-0.0,0.0,13.27492810807196,1.0,72.0
2025-02-16 15:21:09:492	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:494	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:496	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:536	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,0.0,3.0,3.0,3.0
2025-02-16 15:21:09:550	Fenix:arm	debug	0.0,13.450543868783354,-0.0,3.0,14.445261820370495,1.0,422.0
2025-02-16 15:21:09:554	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:555	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:557	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:603	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,7.0,0.0
2025-02-16 15:21:09:615	Fenix:arm	debug	0.0,13.550884033270213,-0.0,7.0,15.916538487260082,1.0,761.0
2025-02-16 15:21:09:618	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:620	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:621	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:670	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,3.0
2025-02-16 15:21:09:683	Fenix:arm	debug	0.0,13.681151245445728,-0.0,3.0,17.621881896609377,1.0,885.0
2025-02-16 15:21:09:685	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:686	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:688	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:733	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,3.0,3.0
2025-02-16 15:21:09:746	Fenix:arm	debug	0.0,13.8060529387274,-0.0,3.0,19.059720457433293,1.0,236.0
2025-02-16 15:21:09:748	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:750	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:752	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:796	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,3.0,7.0,3.0
2025-02-16 15:21:09:808	Fenix:arm	debug	0.0,13.939784305106294,-0.0,7.0,20.56443523038855,1.0,623.0
2025-02-16 15:21:09:811	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:813	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:814	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:857	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,0.0
2025-02-16 15:21:09:874	Fenix:arm	debug	0.0,14.10329272647874,-0.0,7.0,22.16946432154083,1.0,918.0
2025-02-16 15:21:09:876	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:877	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:879	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:09:927	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,0.0
2025-02-16 15:21:09:938	Fenix:arm	debug	0.0,14.282544379380026,-0.0,3.0,23.70761720056176,1.0,528.0
2025-02-16 15:21:09:941	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:09:943	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:09:945	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:10:001	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,3.0
2025-02-16 15:21:10:015	Fenix:arm	debug	0.0,14.495492676351327,-0.0,3.0,25.546713034173745,1.0,1082.0
2025-02-16 15:21:10:019	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:10:021	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:10:023	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:10:064	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,3.0
2025-02-16 15:21:10:078	Fenix:arm	debug	0.0,14.701088703428217,-0.0,3.0,26.98455159499766,1.0,535.0
2025-02-16 15:21:10:081	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:10:083	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:10:084	Fenix:buttonPresses	debug	0.0
2025-02-16 15:21:10:126	Fenix:drivetrain	debug	0.0,-0.0,-0.0,-0.0,3.0,0.0,3.0,0.0
2025-02-16 15:21:10:139	Fenix:arm	debug	0.0,14.868960104557848,-0.0,3.0,28.188323413361868,1.0,1472.0
2025-02-16 15:21:10:141	Fenix:endEffector	debug	0.0,0.0,0.0
2025-02-16 15:21:10:144	Fenix:stateModels	debug	START, START, START, START, START, START, START, START, START, START
2025-02-16 15:21:10:146	Fenix:buttonPresses	debug	0.0
